Start;End;Sleep Quality;Regularity;Mood;Steps;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-12-27 19:29:32;2021-12-28 04:30:19;80%;95%;;0;101.3;Long Thành Trung;144.43407;32447.463;21-12-28 04:04:04;21-12-28 04:30:00;false;0;72 ;Cloudy;
2021-12-28 19:32:04;2021-12-29 04:50:44;91%;95%;;0;;Long Thành Trung;94.9636;33520.431;21-12-29 03:58:12;21-12-29 04:25:00;false;0;74 ;;
2021-12-29 19:36:40;2021-12-30 04:36:37;88%;97%;;0;101.3;Thành phố Tây Ninh;104.93787;32396.961;21-12-30 04:17:15;21-12-30 04:40:00;false;0;75 ;Sunny;Tea
2021-12-30 19:23:50;2021-12-31 04:19:14;93%;96%;;0;101.35;Thành phố Tây Ninh;80.90696;32124.443;21-12-31 04:01:14;21-12-31 04:25:00;true;188;73 ;Cloudy;
2022-01-01 19:44:07;2022-01-02 06:52:00;78%;85%;;0;101.270004;Thành phố Tây Ninh;152.59305;40072.464;22-01-02 04:03:42;22-01-02 04:30:00;true;225;74 ;Cloudy;
2022-01-02 19:49:02;2022-01-03 06:49:59;67%;87%;;0;101.19;Thành phố Tây Ninh;204.09503;39656.995;22-01-03 04:04:13;22-01-03 04:30:00;false;0;73 ;Cloudy;
2022-01-03 20:09:11;2022-01-04 04:21:51;74%;87%;;0;;Thành phố Tây Ninh;148.91995;29559.9;22-01-04 04:05:31;22-01-04 04:30:00;false;0;74 ;;
2022-01-05 22:23:24;2022-01-06 08:59:59;73%;59%;;0;101.259995;Thành phố Tây Ninh;385.74695;38194.94;22-01-06 06:48:56;22-01-06 07:15:00;false;0;74 ;Cloudy;
2022-01-06 19:04:58;2022-01-07 07:21:24;83%;50%;;0;101.240005;Hiệp Tân;252.05087;44186.551;22-01-07 03:49:22;22-01-07 04:15:00;false;0;72 ;Sunny;
2022-01-07 17:57:45;2022-01-08 02:49:37;92%;55%;;0;101.42;Thành phố Tây Ninh;110.94514;31911.919;22-01-08 02:35:28;22-01-08 03:00:00;false;0;75 ;Cloudy;
2022-01-08 18:21:48;2022-01-09 02:43:58;88%;69%;;0;101.259995;Thành phố Tây Ninh;91.01846;30130.367;22-01-09 02:46:21;22-01-09 03:10:00;true;124;71 ;Sunny;
2022-01-09 19:07:19;2022-01-10 05:25:25;96%;73%;;0;101.13;Thành phố Tây Ninh;75.67184;37085.74;22-01-10 02:54:03;22-01-10 03:20:00;false;0;73 ;Fair;
2022-01-10 18:28:16;2022-01-11 05:52:14;99%;85%;;0;101.36;Hiệp Tân;42.72742;41038.241;22-01-11 02:31:03;22-01-11 02:55:00;false;0;76 ;Cloudy;
2022-01-11 18:57:57;2022-01-12 05:30:14;94%;84%;;0;101.229996;Thành phố Tây Ninh;93.17199;37937.539;22-01-12 03:23:20;22-01-12 03:50:00;false;0;69 ;Cloudy;Stressful day
2022-01-12 18:58:09;2022-01-13 04:55:44;99%;92%;;0;101.340004;Hiệp Tân;35.779823;35855.523;22-01-13 03:04:44;22-01-13 03:30:00;false;0;69 ;Cloudy;
2022-01-13 18:44:31;2022-01-14 05:53:29;88%;92%;;0;101.36;Thành phố Tây Ninh;177.1155;40137.388;22-01-14 02:44:27;22-01-14 03:10:00;false;0;69 ;Cloudy;
2022-01-14 18:33:25;2022-01-15 03:20:44;89%;87%;;0;;Thành phố Tây Ninh;136.20422;31638.468;22-01-15 02:55:38;22-01-15 03:20:00;false;0;69 ;;
2022-01-15 19:40:15;2022-01-16 04:15:53;92%;83%;;0;101.44;Thành phố Tây Ninh;73.38962;30937.928;22-01-16 03:49:00;22-01-16 04:15:00;false;0;73 ;Fair;Tea
2022-01-16 19:04:32;2022-01-17 05:05:54;92%;82%;;0;;Thành phố Tây Ninh;122.65045;36081.76;22-01-17 03:21:59;22-01-17 03:45:00;true;589;71 ;;
2022-01-17 18:29:15;2022-01-18 05:51:51;89%;86%;;0;101.21;Thành phố Tây Ninh;152.89592;40955.603;22-01-18 03:00:00;22-01-18 03:30:00;false;0;71 ;Cloudy;Good day:Tea
2022-01-18 18:27:43;2022-01-19 06:08:31;90%;91%;;0;;;145.29053;42048.12;22-01-19 02:35:00;22-01-19 03:05:00;true;94;;;
2022-01-19 18:53:34;2022-01-20 05:00:28;93%;91%;;0;101.07;Thành phố Tây Ninh;111.53654;36414.403;22-01-20 03:28:08;22-01-20 03:55:00;false;0;72 ;Sunny;
2022-01-20 17:58:50;2022-01-21 03:04:37;94%;86%;;0;;Hiệp Tân;96.27551;32747.23;22-01-21 02:43:46;22-01-21 03:10:00;false;0;;;
2022-01-21 18:26:57;2022-01-22 03:26:01;94%;85%;;0;;Hiệp Tân;93.00001;32343.653;22-01-22 02:59:29;22-01-22 03:25:00;false;0;;;
2022-01-22 20:41:23;2022-01-23 06:04:01;100%;76%;;0;;;9.81994;33757.944;22-01-23 05:21:29;22-01-23 05:45:00;false;0;;;
2022-01-23 17:31:27;2022-01-24 05:53:20;94%;74%;;0;;;95.34809;44512.849;22-01-24 01:53:11;22-01-24 02:20:00;false;0;;;
2022-01-25 16:26:54;2022-01-26 05:30:08;93%;79%;;0;;;130.60536;46993.824;22-01-26 01:22:29;22-01-26 01:45:00;false;0;;;
